0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
0.75,0.81,0.82,0.85,0.86
